From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R
Latvia;Sweden;1392;3283;108;7.759%;3.29%;6.2%
Latvia;Switzerland;1276;634;16;1.254%;2.524%;1.265%
Latvia;Turkey;754;1434;2;0.2653%;0.1395%;5.363%
Latvia;Ukraine;1044;2385;96;9.195%;4.025%;5.711%
Latvia;UnitedKingdom;1392;867;30;2.155%;3.46%;1.637%
Latvia;Yugoslavia;0;0;0;nan%;nan%;nan%
Lithuania;Albania;1160;778;0;0%;0%;1.644%
Lithuania;Andorra;348;0;0;0%;nan%;0%
Lithuania;Armenia;986;1276;9;0.9128%;0.7053%;3.147%
Lithuania;Australia;522;1263;24;4.598%;1.9%;5.791%
Lithuania;Austria;986;975;31;3.144%;3.179%;2.479%
Lithuania;Azerbaijan;928;1710;61;6.573%;3.567%;4.46%
Lithuania;Belarus;1160;368;12;1.034%;3.261%;0.7776%
Lithuania;Belgium;1218;1015;35;2.874%;3.448%;2.083%
Lithuania;BosniaHerzegovina;754;1014;4;0.5305%;0.3945%;3.532%
Lithuania;Bulgaria;870;1245;16;1.839%;1.285%;3.457%
Lithuania;Croatia;1160;597;6;0.5172%;1.005%;1.31%
Lithuania;Cyprus;1160;1113;17;1.466%;1.527%;2.39%
Lithuania;Czech;696;479;15;2.155%;3.132%;1.642%
Lithuania;Denmark;1276;1551;31;2.429%;1.999%;3.099%
Lithuania;Estonia;1276;1048;71;5.564%;6.775%;2.094%
Lithuania;Finland;1218;614;16;1.314%;2.606%;1.26%
Lithuania;France;1276;1350;48;3.762%;3.556%;2.697%
Lithuania;Georgia;928;631;69;7.435%;10.94%;1.646%
Lithuania;Germany;1276;1215;28;2.194%;2.305%;2.427%
Lithuania;Greece;1276;1946;19;1.489%;0.9764%;3.888%
Lithuania;Hungary;986;944;15;1.521%;1.589%;2.315%
Lithuania;Iceland;1218;786;20;1.642%;2.545%;1.615%
Lithuania;Ireland;1218;442;10;0.821%;2.262%;0.9083%
Lithuania;Israel;1276;1303;19;1.489%;1.458%;2.603%
Lithuania;Italy;754;1979;48;6.366%;2.425%;6.354%
Lithuania;Latvia;1276;830;91;7.132%;10.96%;1.658%
Lithuania;Luxembourg;0;0;0;nan%;nan%;nan%
Lithuania;Macedonia;1218;629;0;0%;0%;1.291%
Lithuania;Malta;1276;939;18;1.411%;1.917%;1.876%
Lithuania;Moldova;1102;1207;24;2.178%;1.988%;2.668%
Lithuania;Monaco;174;0;0;0%;nan%;0%
Lithuania;Montenegro;870;81;0;0%;0%;0.2249%
Lithuania;Morocco;0;0;0;nan%;nan%;nan%
Lithuania;Netherlands;1218;1301;40;3.284%;3.075%;2.674%
Lithuania;Norway;1218;1792;64;5.255%;3.571%;3.683%
Lithuania;Poland;1102;417;16;1.452%;3.837%;0.9485%
Lithuania;Portugal;1044;984;31;2.969%;3.15%;2.369%
Lithuania;Romania;1102;1352;7;0.6352%;0.5178%;3.083%
Lithuania;Russia;1160;2887;119;10.26%;4.122%;6.39%
Lithuania;SanMarino;812;91;0;0%;0%;0.2705%
Lithuania;Serbia;928;1169;10;1.078%;0.8554%;3.026%
Lithuania;Serbia&Montenegro;174;400;2;1.149%;0.5%;6.103%
Lithuania;Slovakia;232;0;0;0%;nan%;0%
Lithuania;Slovenia;1276;482;13;1.019%;2.697%;0.963%
Lithuania;Spain;1276;920;12;0.9404%;1.304%;1.838%
Lithuania;Sweden;1276;3088;90;7.053%;2.915%;6.169%
Lithuania;Switzerland;1218;620;12;0.9852%;1.935%;1.273%
Lithuania;Turkey;638;1208;8;1.254%;0.6623%;5.068%
Lithuania;Ukraine;986;2355;78;7.911%;3.312%;5.851%
Lithuania;UnitedKingdom;1276;839;17;1.332%;2.026%;1.676%
Lithuania;Yugoslavia;0;0;0;nan%;nan%;nan%
Luxembourg;Albania;0;0;0;nan%;nan%;nan%
Luxembourg;Andorra;0;0;0;nan%;nan%;nan%
Luxembourg;Armenia;0;0;0;nan%;nan%;nan%
Luxembourg;Australia;0;0;0;nan%;nan%;nan%
Luxembourg;Austria;0;0;0;nan%;nan%;nan%
Luxembourg;Azerbaijan;0;0;0;nan%;nan%;nan%
Luxembourg;Belarus;0;0;0;nan%;nan%;nan%
Luxembourg;Belgium;0;0;0;nan%;nan%;nan%
Luxembourg;BosniaHerzegovina;0;0;0;nan%;nan%;nan%
Luxembourg;Bulgaria;0;0;0;nan%;nan%;nan%
Luxembourg;Croatia;0;0;0;nan%;nan%;nan%
Luxembourg;Cyprus;0;0;0;nan%;nan%;nan%
Luxembourg;Czech;0;0;0;nan%;nan%;nan%
Luxembourg;Denmark;0;0;0;nan%;nan%;nan%
Luxembourg;Estonia;0;0;0;nan%;nan%;nan%
Luxembourg;Finland;0;0;0;nan%;nan%;nan%
Luxembourg;France;0;0;0;nan%;nan%;nan%
Luxembourg;Georgia;0;0;0;nan%;nan%;nan%
Luxembourg;Germany;0;0;0;nan%;nan%;nan%
Luxembourg;Greece;0;0;0;nan%;nan%;nan%
Luxembourg;Hungary;0;0;0;nan%;nan%;nan%
Luxembourg;Iceland;0;0;0;nan%;nan%;nan%
Luxembourg;Ireland;0;0;0;nan%;nan%;nan%
Luxembourg;Israel;0;0;0;nan%;nan%;nan%
Luxembourg;Italy;0;0;0;nan%;nan%;nan%
Luxembourg;Latvia;0;0;0;nan%;nan%;nan%
Luxembourg;Lithuania;0;0;0;nan%;nan%;nan%
Luxembourg;Macedonia;0;0;0;nan%;nan%;nan%
Luxembourg;Malta;0;0;0;nan%;nan%;nan%
Luxembourg;Moldova;0;0;0;nan%;nan%;nan%
Luxembourg;Monaco;0;0;0;nan%;nan%;nan%
Luxembourg;Montenegro;0;0;0;nan%;nan%;nan%
Luxembourg;Morocco;0;0;0;nan%;nan%;nan%
Luxembourg;Netherlands;0;0;0;nan%;nan%;nan%
Luxembourg;Norway;0;0;0;nan%;nan%;nan%
Luxembourg;Poland;0;0;0;nan%;nan%;nan%
Luxembourg;Portugal;0;0;0;nan%;nan%;nan%
Luxembourg;Romania;0;0;0;nan%;nan%;nan%
Luxembourg;Russia;0;0;0;nan%;nan%;nan%
Luxembourg;SanMarino;0;0;0;nan%;nan%;nan%
Luxembourg;Serbia;0;0;0;nan%;nan%;nan%
Luxembourg;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Luxembourg;Slovakia;0;0;0;nan%;nan%;nan%
Luxembourg;Slovenia;0;0;0;nan%;nan%;nan%
Luxembourg;Spain;0;0;0;nan%;nan%;nan%
Luxembourg;Sweden;0;0;0;nan%;nan%;nan%
Luxembourg;Switzerland;0;0;0;nan%;nan%;nan%
Luxembourg;Turkey;0;0;0;nan%;nan%;nan%
Luxembourg;Ukraine;0;0;0;nan%;nan%;nan%
Luxembourg;UnitedKingdom;0;0;0;nan%;nan%;nan%
Luxembourg;Yugoslavia;0;0;0;nan%;nan%;nan%
Macedonia;Albania;1160;778;117;10.09%;15.04%;1.644%
Macedonia;Andorra;348;0;0;0%;nan%;0%
Macedonia;Armenia;986;1276;24;2.434%;1.881%;3.147%
Macedonia;Australia;522;1263;29;5.556%;2.296%;5.791%
Macedonia;Austria;1044;1009;5;0.4789%;0.4955%;2.478%
Macedonia;Azerbaijan;928;1710;22;2.371%;1.287%;4.46%
Macedonia;Belarus;1160;368;12;1.034%;3.261%;0.7776%
Macedonia;Belgium;1276;1017;15;1.176%;1.475%;2.029%
Macedonia;BosniaHerzegovina;696;985;66;9.483%;6.701%;3.598%
Macedonia;Bulgaria;870;1245;59;6.782%;4.739%;3.457%
Macedonia;Croatia;1160;625;65;5.603%;10.4%;1.369%
Macedonia;Cyprus;1218;1121;23;1.888%;2.052%;2.337%
Macedonia;Czech;696;479;9;1.293%;1.879%;1.642%
Macedonia;Denmark;1276;1569;21;1.646%;1.338%;3.131%
Macedonia;Estonia;1276;948;20;1.567%;2.11%;1.892%
Macedonia;Finland;1276;632;12;0.9404%;1.899%;1.261%
Macedonia;France;1276;1213;13;1.019%;1.072%;2.421%
Macedonia;Georgia;928;631;5;0.5388%;0.7924%;1.646%
Macedonia;Germany;1276;1245;11;0.8621%;0.8835%;2.484%
Macedonia;Greece;1218;1799;34;2.791%;1.89%;3.693%
Macedonia;Hungary;986;944;14;1.42%;1.483%;2.315%
Macedonia;Iceland;1218;828;4;0.3284%;0.4831%;1.7%
Macedonia;Ireland;1218;528;0;0%;0%;1.084%
Macedonia;Israel;1276;1285;11;0.8621%;0.856%;2.564%
Macedonia;Italy;754;1979;55;7.294%;2.779%;6.354%
Macedonia;Latvia;1276;950;13;1.019%;1.368%;1.896%
Macedonia;Lithuania;1218;786;3;0.2463%;0.3817%;1.613%
Macedonia;Luxembourg;0;0;0;nan%;nan%;nan%
Macedonia;Malta;1276;964;36;2.821%;3.734%;1.924%
Macedonia;Moldova;1102;1207;22;1.996%;1.823%;2.668%
Macedonia;Monaco;174;0;0;0%;nan%;0%
Macedonia;Montenegro;870;81;16;1.839%;19.75%;0.2249%
Macedonia;Morocco;0;0;0;nan%;nan%;nan%
Macedonia;Netherlands;1218;1325;25;2.053%;1.887%;2.72%
Macedonia;Norway;1218;1846;23;1.888%;1.246%;3.789%
Macedonia;Poland;1044;406;7;0.6705%;1.724%;0.9524%
Macedonia;Portugal;986;966;17;1.724%;1.76%;2.403%
Macedonia;Romania;1160;1377;41;3.534%;2.977%;3.044%
Macedonia;Russia;1160;3005;62;5.345%;2.063%;6.642%
Macedonia;SanMarino;812;91;8;0.9852%;8.791%;0.2705%
Macedonia;Serbia;928;1169;104;11.21%;8.896%;3.026%
Macedonia;Serbia&Montenegro;174;400;20;11.49%;5%;6.103%
Macedonia;Slovakia;232;0;0;0%;nan%;0%
Macedonia;Slovenia;1218;412;33;2.709%;8.01%;0.8456%
Macedonia;Spain;1276;862;5;0.3918%;0.58%;1.72%
Macedonia;Sweden;1276;3076;45;3.527%;1.463%;6.138%
Macedonia;Switzerland;1276;634;7;0.5486%;1.104%;1.265%
Macedonia;Turkey;638;1226;74;11.6%;6.036%;5.131%
Macedonia;Ukraine;986;2355;51;5.172%;2.166%;5.851%
Macedonia;UnitedKingdom;1276;839;18;1.411%;2.145%;1.674%
Macedonia;Yugoslavia;0;0;0;nan%;nan%;nan%
Malta;Albania;1160;778;13;1.121%;1.671%;1.644%
Malta;Andorra;348;0;0;0%;nan%;0%
Malta;Armenia;986;1276;15;1.521%;1.176%;3.147%
Malta;Australia;522;1263;33;6.322%;2.613%;5.791%
Malta;Austria;1102;1110;15;1.361%;1.351%;2.629%
Malta;Azerbaijan;928;1710;73;7.866%;4.269%;4.46%
Malta;Belarus;1160;368;14;1.207%;3.804%;0.7776%
Malta;Belgium;1334;1182;15;1.124%;1.269%;2.29%
Malta;BosniaHerzegovina;812;1041;4;0.4926%;0.3842%;3.445%
Malta;Bulgaria;870;1245;52;5.977%;4.177%;3.457%
Malta;Croatia;1276;696;19;1.489%;2.73%;1.435%
Malta;Cyprus;1276;1136;67;5.251%;5.898%;2.296%
Malta;Czech;696;479;8;1.149%;1.67%;1.642%
Malta;Denmark;1334;1746;49;3.673%;2.806%;3.394%
Malta;Estonia;1392;1160;24;1.724%;2.069%;2.191%
Malta;Finland;1276;632;10;0.7837%;1.582%;1.261%
Malta;France;1392;1374;23;1.652%;1.674%;2.595%
Malta;Georgia;928;631;5;0.5388%;0.7924%;1.646%
Malta;Germany;1392;1364;22;1.58%;1.613%;2.576%
Malta;Greece;1334;1971;58;4.348%;2.943%;3.823%
Malta;Hungary;986;944;11;1.116%;1.165%;2.315%
Malta;Iceland;1334;912;37;2.774%;4.057%;1.769%
Malta;Ireland;1334;587;27;2.024%;4.6%;1.138%
Malta;Israel;1392;1327;35;2.514%;2.638%;2.506%
Malta;Italy;754;1979;137;18.17%;6.923%;6.354%
Malta;Latvia;1392;966;32;2.299%;3.313%;1.824%
Malta;Lithuania;1276;821;10;0.7837%;1.218%;1.64%
Malta;Luxembourg;0;0;0;nan%;nan%;nan%
Malta;Macedonia;1276;658;14;1.097%;2.128%;1.313%
Malta;Moldova;1102;1207;3;0.2722%;0.2486%;2.668%
Malta;Monaco;174;0;0;0%;nan%;0%
Malta;Montenegro;870;81;0;0%;0%;0.2249%
Malta;Morocco;0;0;0;nan%;nan%;nan%
Malta;Netherlands;1334;1386;34;2.549%;2.453%;2.688%
Malta;Norway;1334;1972;46;3.448%;2.333%;3.825%
Malta;Poland;1160;507;10;0.8621%;1.972%;1.115%
Malta;Portugal;1102;997;19;1.724%;1.906%;2.317%
Malta;Romania;1218;1450;54;4.433%;3.724%;3.102%
Malta;Russia;1276;3206;85;6.661%;2.651%;6.668%
Malta;SanMarino;812;91;1;0.1232%;1.099%;0.2705%
Malta;Serbia;928;1169;14;1.509%;1.198%;3.026%
Malta;Serbia&Montenegro;174;400;6;3.448%;1.5%;6.103%
Malta;Slovakia;232;0;0;0%;nan%;0%
Malta;Slovenia;1334;489;8;0.5997%;1.636%;0.9484%
Malta;Spain;1392;1019;7;0.5029%;0.6869%;1.924%
Malta;Sweden;1392;3283;101;7.256%;3.076%;6.2%
Malta;Switzerland;1276;634;24;1.881%;3.785%;1.265%
Malta;Turkey;754;1434;21;2.785%;1.464%;5.363%
Malta;Ukraine;1044;2385;50;4.789%;2.096%;5.711%
Malta;UnitedKingdom;1392;867;87;6.25%;10.03%;1.637%
Malta;Yugoslavia;0;0;0;nan%;nan%;nan%
Moldova;Albania;1102;672;0;0%;0%;1.485%
Moldova;Andorra;290;0;0;0%;nan%;0%
Moldova;Armenia;986;1276;39;3.955%;3.056%;3.147%
Moldova;Australia;522;1263;40;7.663%;3.167%;5.791%
Moldova;Austria;870;940;16;1.839%;1.702%;2.622%
Moldova;Azerbaijan;928;1710;95;10.24%;5.556%;4.46%
Moldova;Belarus;1102;368;26;2.359%;7.065%;0.8134%
Moldova;Belgium;1102;975;8;0.726%;0.8205%;2.155%
Moldova;BosniaHerzegovina;580;861;5;0.8621%;0.5807%;3.603%
Moldova;Bulgaria;870;1245;34;3.908%;2.731%;3.457%
Moldova;Croatia;986;461;3;0.3043%;0.6508%;1.131%
Moldova;Cyprus;1044;858;15;1.437%;1.748%;1.991%
Moldova;Czech;696;479;16;2.299%;3.34%;1.642%
Moldova;Denmark;1102;1367;15;1.361%;1.097%;3.022%
Moldova;Estonia;1102;739;28;2.541%;3.789%;1.634%
Moldova;Finland;1102;590;6;0.5445%;1.017%;1.304%
Moldova;France;1102;1064;13;1.18%;1.222%;2.352%
Moldova;Georgia;928;631;27;2.909%;4.279%;1.646%
Moldova;Germany;1102;1039;10;0.9074%;0.9625%;2.297%
Moldova;Greece;1102;1520;29;2.632%;1.908%;3.36%
Moldova;Hungary;986;944;8;0.8114%;0.8475%;2.315%
Moldova;Iceland;1102;767;4;0.363%;0.5215%;1.695%
Moldova;Ireland;1102;429;0;0%;0%;0.9483%
Moldova;Israel;1102;1241;42;3.811%;3.384%;2.743%
Moldova;Italy;754;1979;29;3.846%;1.465%;6.354%
Moldova;Latvia;1102;638;15;1.361%;2.351%;1.41%
Moldova;Lithuania;1102;774;11;0.9982%;1.421%;1.711%
Moldova;Luxembourg;0;0;0;nan%;nan%;nan%
Moldova;Macedonia;1102;557;12;1.089%;2.154%;1.231%
Moldova;Malta;1102;677;4;0.363%;0.5908%;1.496%
Moldova;Monaco;116;0;0;0%;nan%;0%
Moldova;Montenegro;870;81;0;0%;0%;0.2249%
Moldova;Morocco;0;0;0;nan%;nan%;nan%
Moldova;Netherlands;1102;1274;10;0.9074%;0.7849%;2.816%
Moldova;Norway;1102;1786;38;3.448%;2.128%;3.948%
Moldova;Poland;986;379;2;0.2028%;0.5277%;0.9348%
Moldova;Portugal;928;966;13;1.401%;1.346%;2.535%
Moldova;Romania;986;1263;149;15.11%;11.8%;3.129%
Moldova;Russia;986;2728;126;12.78%;4.619%;6.758%
Moldova;SanMarino;812;91;9;1.108%;9.89%;0.2705%
Moldova;Serbia;928;1169;9;0.9698%;0.7699%;3.026%
Moldova;Serbia&Montenegro;116;137;1;0.8621%;0.7299%;3.068%
Moldova;Slovakia;232;0;0;0%;nan%;0%
Moldova;Slovenia;1102;379;0;0%;0%;0.8378%
Moldova;Spain;1102;676;13;1.18%;1.923%;1.494%
Moldova;Sweden;1102;2746;55;4.991%;2.003%;6.07%
Moldova;Switzerland;1102;605;4;0.363%;0.6612%;1.337%
Moldova;Turkey;464;943;1;0.2155%;0.106%;4.957%
Moldova;Ukraine;928;2075;117;12.61%;5.639%;5.437%
Moldova;UnitedKingdom;1102;671;5;0.4537%;0.7452%;1.483%
Moldova;Yugoslavia;0;0;0;nan%;nan%;nan%
Monaco;Albania;174;159;0;0%;0%;2.426%
Monaco;Andorra;174;0;0;0%;nan%;0%
Monaco;Armenia;58;129;0;0%;0%;5.853%
Monaco;Australia;0;0;0;nan%;nan%;nan%
Monaco;Austria;116;9;0;0%;0%;0.2069%
Monaco;Azerbaijan;0;0;0;nan%;nan%;nan%
Monaco;Belarus;174;0;0;0%;nan%;0%
Monaco;Belgium;174;7;0;0%;0%;0.1068%
Monaco;BosniaHerzegovina;174;399;16;9.195%;4.01%;6.088%
Monaco;Bulgaria;116;0;0;0%;nan%;0%
Monaco;Croatia;174;221;11;6.322%;4.977%;3.372%
Monaco;Cyprus;174;216;2;1.149%;0.9259%;3.296%
Monaco;Czech;0;0;0;nan%;nan%;nan%
Monaco;Denmark;174;151;10;5.747%;6.623%;2.304%
Monaco;Estonia;174;0;0;0%;nan%;0%
Monaco;Finland;174;292;0;0%;0%;4.455%
Monaco;France;174;56;15;8.621%;26.79%;0.8544%
Monaco;Georgia;0;0;0;nan%;nan%;nan%
Monaco;Germany;174;133;9;5.172%;6.767%;2.029%
Monaco;Greece;174;610;10;5.747%;1.639%;9.307%
Monaco;Hungary;58;97;0;0%;0%;4.288%
Monaco;Iceland;174;16;5;2.874%;31.25%;0.2441%
Monaco;Ireland;174;100;10;5.747%;10%;1.526%
Monaco;Israel;174;158;12;6.897%;7.595%;2.411%
Monaco;Italy;0;0;0;nan%;nan%;nan%
Monaco;Latvia;174;183;8;4.598%;4.372%;2.792%
Monaco;Lithuania;174;162;7;4.023%;4.321%;2.472%
Monaco;Luxembourg;0;0;0;nan%;nan%;nan%
Monaco;Macedonia;174;155;1;0.5747%;0.6452%;2.365%
Monaco;Malta;174;243;5;2.874%;2.058%;3.708%
Monaco;Moldova;116;170;0;0%;0%;3.807%
Monaco;Montenegro;0;0;0;nan%;nan%;nan%
Monaco;Morocco;0;0;0;nan%;nan%;nan%
Monaco;Netherlands;174;11;0;0%;0%;0.1678%
Monaco;Norway;174;164;1;0.5747%;0.6098%;2.502%
Monaco;Poland;174;27;0;0%;0%;0.412%
Monaco;Portugal;174;0;0;0%;nan%;0%
Monaco;Romania;174;348;4;2.299%;1.149%;5.31%
Monaco;Russia;174;372;0;0%;0%;5.676%
Monaco;SanMarino;0;0;0;nan%;nan%;nan%
Monaco;Serbia;0;0;0;nan%;nan%;nan%
Monaco;Serbia&Montenegro;174;400;7;4.023%;1.75%;6.103%
Monaco;Slovakia;0;0;0;nan%;nan%;nan%
Monaco;Slovenia;174;0;0;0%;nan%;0%
Monaco;Spain;174;133;3;1.724%;2.256%;2.029%
Monaco;Sweden;174;370;8;4.598%;2.162%;5.645%
Monaco;Switzerland;174;158;14;8.046%;8.861%;2.411%
Monaco;Turkey;174;378;8;4.598%;2.116%;5.767%
Monaco;Ukraine;174;455;8;4.598%;1.758%;6.942%
Monaco;UnitedKingdom;174;72;0;0%;0%;1.099%
Monaco;Yugoslavia;0;0;0;nan%;nan%;nan%
Montenegro;Albania;870;557;69;7.931%;12.39%;1.546%
Montenegro;Andorra;174;0;0;0%;nan%;0%
Montenegro;Armenia;812;1006;25;3.079%;2.485%;2.996%
Montenegro;Australia;522;1263;8;1.533%;0.6334%;5.791%
Montenegro;Austria;754;876;3;0.3979%;0.3425%;2.818%
Montenegro;Azerbaijan;812;1344;46;5.665%;3.423%;4.002%
Montenegro;Belarus;870;350;7;0.8046%;2%;0.9717%
Montenegro;Belgium;870;832;13;1.494%;1.562%;2.31%
Montenegro;BosniaHerzegovina;348;377;35;10.06%;9.284%;2.569%
Montenegro;Bulgaria;638;1245;24;3.762%;1.928%;4.646%
Montenegro;Croatia;754;290;33;4.377%;11.38%;0.9191%
Montenegro;Cyprus;812;785;12;1.478%;1.529%;2.318%
Montenegro;Czech;696;479;1;0.1437%;0.2088%;1.642%
Montenegro;Denmark;870;933;19;2.184%;2.036%;2.59%
Montenegro;Estonia;870;695;6;0.6897%;0.8633%;1.93%
Montenegro;Finland;870;241;0;0%;0%;0.6691%
Montenegro;France;870;884;12;1.379%;1.357%;2.454%
Montenegro;Georgia;812;385;2;0.2463%;0.5195%;1.146%
Montenegro;Germany;870;646;0;0%;0%;1.794%
Montenegro;Greece;870;902;28;3.218%;3.104%;2.504%
Montenegro;Hungary;870;794;32;3.678%;4.03%;2.204%
Montenegro;Iceland;870;665;7;0.8046%;1.053%;1.846%
Montenegro;Ireland;870;192;0;0%;0%;0.5331%
Montenegro;Israel;870;1012;13;1.494%;1.285%;2.81%
Montenegro;Italy;696;1790;61;8.764%;3.408%;6.247%
Montenegro;Latvia;870;455;3;0.3448%;0.6593%;1.263%
Montenegro;Lithuania;870;549;3;0.3448%;0.5464%;1.524%
Montenegro;Luxembourg;0;0;0;nan%;nan%;nan%
Montenegro;Macedonia;870;449;31;3.563%;6.904%;1.247%
Montenegro;Malta;870;484;18;2.069%;3.719%;1.344%
Montenegro;Moldova;870;913;19;2.184%;2.081%;2.535%
Montenegro;Monaco;0;0;0;nan%;nan%;nan%
Montenegro;Morocco;0;0;0;nan%;nan%;nan%
Montenegro;Netherlands;870;1274;4;0.4598%;0.314%;3.537%
Montenegro;Norway;870;1590;21;2.414%;1.321%;4.414%
Montenegro;Poland;754;379;5;0.6631%;1.319%;1.21%
Montenegro;Portugal;696;923;8;1.149%;0.8667%;3.196%
Montenegro;Romania;754;694;11;1.459%;1.585%;2.228%
Montenegro;Russia;754;2256;70;9.284%;3.103%;7.243%
Montenegro;SanMarino;754;91;8;1.061%;8.791%;0.2922%
Montenegro;Serbia;812;1012;114;14.04%;11.26%;2.988%
Montenegro;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Montenegro;Slovakia;116;0;0;0%;nan%;0%
Montenegro;Slovenia;870;283;30;3.448%;10.6%;0.7857%
Montenegro;Spain;870;512;6;0.6897%;1.172%;1.422%
Montenegro;Sweden;870;2361;24;2.759%;1.017%;6.555%
Montenegro;Switzerland;870;428;5;0.5747%;1.168%;1.188%
Montenegro;Turkey;232;590;4;1.724%;0.678%;6.019%
Montenegro;Ukraine;696;1633;28;4.023%;1.715%;5.642%
Montenegro;UnitedKingdom;870;518;2;0.2299%;0.3861%;1.438%
Montenegro;Yugoslavia;0;0;0;nan%;nan%;nan%
Morocco;Albania;0;0;0;nan%;nan%;nan%
Morocco;Andorra;0;0;0;nan%;nan%;nan%
Morocco;Armenia;0;0;0;nan%;nan%;nan%
Morocco;Australia;0;0;0;nan%;nan%;nan%
Morocco;Austria;0;0;0;nan%;nan%;nan%
Morocco;Azerbaijan;0;0;0;nan%;nan%;nan%
Morocco;Belarus;0;0;0;nan%;nan%;nan%
Morocco;Belgium;0;0;0;nan%;nan%;nan%
Morocco;BosniaHerzegovina;0;0;0;nan%;nan%;nan%
Morocco;Bulgaria;0;0;0;nan%;nan%;nan%
Morocco;Croatia;0;0;0;nan%;nan%;nan%
Morocco;Cyprus;0;0;0;nan%;nan%;nan%
Morocco;Czech;0;0;0;nan%;nan%;nan%
Morocco;Denmark;0;0;0;nan%;nan%;nan%
Morocco;Estonia;0;0;0;nan%;nan%;nan%
Morocco;Finland;0;0;0;nan%;nan%;nan%
Morocco;France;0;0;0;nan%;nan%;nan%
Morocco;Georgia;0;0;0;nan%;nan%;nan%
Morocco;Germany;0;0;0;nan%;nan%;nan%
Morocco;Greece;0;0;0;nan%;nan%;nan%
Morocco;Hungary;0;0;0;nan%;nan%;nan%
Morocco;Iceland;0;0;0;nan%;nan%;nan%
Morocco;Ireland;0;0;0;nan%;nan%;nan%
Morocco;Israel;0;0;0;nan%;nan%;nan%
Morocco;Italy;0;0;0;nan%;nan%;nan%
Morocco;Latvia;0;0;0;nan%;nan%;nan%
Morocco;Lithuania;0;0;0;nan%;nan%;nan%
Morocco;Luxembourg;0;0;0;nan%;nan%;nan%
Morocco;Macedonia;0;0;0;nan%;nan%;nan%
Morocco;Malta;0;0;0;nan%;nan%;nan%
Morocco;Moldova;0;0;0;nan%;nan%;nan%
Morocco;Monaco;0;0;0;nan%;nan%;nan%
Morocco;Montenegro;0;0;0;nan%;nan%;nan%
Morocco;Netherlands;0;0;0;nan%;nan%;nan%
Morocco;Norway;0;0;0;nan%;nan%;nan%
Morocco;Poland;0;0;0;nan%;nan%;nan%
Morocco;Portugal;0;0;0;nan%;nan%;nan%
Morocco;Romania;0;0;0;nan%;nan%;nan%
Morocco;Russia;0;0;0;nan%;nan%;nan%
Morocco;SanMarino;0;0;0;nan%;nan%;nan%
Morocco;Serbia;0;0;0;nan%;nan%;nan%
Morocco;Serbia&Montenegro;0;0;0;nan%;nan%;nan%
Morocco;Slovakia;0;0;0;nan%;nan%;nan%
Morocco;Slovenia;0;0;0;nan%;nan%;nan%
Morocco;Spain;0;0;0;nan%;nan%;nan%
Morocco;Sweden;0;0;0;nan%;nan%;nan%
Morocco;Switzerland;0;0;0;nan%;nan%;nan%
Morocco;Turkey;0;0;0;nan%;nan%;nan%
Morocco;Ukraine;0;0;0;nan%;nan%;nan%
Morocco;UnitedKingdom;0;0;0;nan%;nan%;nan%
Morocco;Yugoslavia;0;0;0;nan%;nan%;nan%
Netherlands;Albania;1160;778;1;0.08621%;0.1285%;1.644%
Netherlands;Andorra;348;0;0;0%;nan%;0%
Netherlands;Armenia;986;1276;66;6.694%;5.172%;3.147%
Netherlands;Australia;522;1263;33;6.322%;2.613%;5.791%
Netherlands;Austria;1044;1084;51;4.885%;4.705%;2.655%
Netherlands;Azerbaijan;928;1710;25;2.694%;1.462%;4.46%
Netherlands;Belarus;1160;368;0;0%;0%;0.7776%
Netherlands;Belgium;1276;1149;73;5.721%;6.353%;2.288%
Netherlands;BosniaHerzegovina;754;1008;42;5.57%;4.167%;3.497%
Netherlands;Bulgaria;870;1245;19;2.184%;1.526%;3.457%
Netherlands;Croatia;1218;652;5;0.4105%;0.7669%;1.384%
Netherlands;Cyprus;1218;1051;20;1.642%;1.903%;2.186%
Netherlands;Czech;696;479;10;1.437%;2.088%;1.642%
Netherlands;Denmark;1276;1739;81;6.348%;4.658%;3.474%
Netherlands;Estonia;1334;1049;34;2.549%;3.241%;2.034%
Netherlands;Finland;1218;608;14;1.149%;2.303%;1.248%
Netherlands;France;1334;1270;25;1.874%;1.969%;2.463%
Netherlands;Georgia;928;631;2;0.2155%;0.317%;1.646%
Netherlands;Germany;1334;1347;62;4.648%;4.603%;2.612%
Netherlands;Greece;1276;1944;43;3.37%;2.212%;3.875%
Netherlands;Hungary;986;944;23;2.333%;2.436%;2.315%
Netherlands;Iceland;1334;912;26;1.949%;2.851%;1.769%
Netherlands;Ireland;1334;587;21;1.574%;3.578%;1.138%
Netherlands;Israel;1334;1290;47;3.523%;3.643%;2.502%
Netherlands;Italy;754;1979;38;5.04%;1.92%;6.354%
Netherlands;Latvia;1334;790;9;0.6747%;1.139%;1.532%
Netherlands;Lithuania;1218;809;19;1.56%;2.349%;1.662%
Netherlands;Luxembourg;0;0;0;nan%;nan%;nan%
Netherlands;Macedonia;1218;633;4;0.3284%;0.6319%;1.299%
Netherlands;Malta;1334;852;27;2.024%;3.169%;1.652%
