From;To;All points given by L;All points gotten by R;All points given from L to R;% of given points from L to R out of all given;% of gotten points to R from L out of all gotten;% of all votes for R;% of given from L - % of gotten from all
Russia;Iceland;1218;912;15;1,23%;1,65%;1,95%;-0,72%
France;Iceland;1334;912;14;1,05%;1,54%;1,77%;-0,72%
Spain;Iceland;1334;912;14;1,05%;1,54%;1,77%;-0,72%
Belarus;Iceland;1160;783;11;0,95%;1,41%;1,65%;-0,71%
Austria;Iceland;1044;586;8;0,77%;1,37%;1,44%;-0,67%
Cyprus;Iceland;1218;851;11;0,90%;1,29%;1,77%;-0,87%
Croatia;Iceland;1218;854;11;0,90%;1,29%;1,81%;-0,91%
Armenia;Iceland;986;721;8;0,81%;1,11%;1,78%;-0,97%
Montenegro;Iceland;870;665;7;0,80%;1,05%;1,85%;-1,04%
Bulgaria;Iceland;870;477;5;0,57%;1,05%;1,32%;-0,75%
Greece;Iceland;1276;867;9;0,71%;1,04%;1,73%;-1,02%
Albania;Iceland;1160;783;6;0,52%;0,77%;1,65%;-1,14%
Serbia;Iceland;928;709;5;0,54%;0,71%;1,84%;-1,30%
Ukraine;Iceland;1044;632;4;0,38%;0,63%;1,51%;-1,13%
Georgia;Iceland;928;549;3;0,32%;0,55%;1,43%;-1,11%
Moldova;Iceland;1102;767;4;0,36%;0,52%;1,70%;-1,33%
Macedonia;Iceland;1218;828;4;0,33%;0,48%;1,70%;-1,37%
BosniaHerzegovina;Iceland;754;530;1;0,13%;0,19%;1,84%;-1,71%
Serbia&Montenegro;Iceland;174;16;0;0,00%;0,00%;0,24%;-0,24%
Azerbaijan;Iceland;928;767;0;0,00%;0,00%;2,00%;-2,00%
Luxembourg;Iceland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Iceland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Iceland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
UnitedKingdom;Ireland;1334;587;85;6,37%;14,48%;1,14%;5,23%
Monaco;Ireland;174;100;10;5,75%;10,00%;1,53%;4,22%
Czech;Ireland;696;141;14;2,01%;9,93%;0,48%;1,53%
Australia;Ireland;522;136;12;2,30%;8,82%;0,62%;1,68%
Denmark;Ireland;1276;534;30;2,35%;5,62%;1,07%;1,28%
Sweden;Ireland;1334;587;32;2,40%;5,45%;1,14%;1,26%
Germany;Ireland;1334;587;29;2,17%;4,94%;1,14%;1,04%
Malta;Ireland;1334;587;27;2,02%;4,60%;1,14%;0,89%
Portugal;Ireland;1102;490;22;2,00%;4,49%;1,14%;0,86%
Switzerland;Ireland;1218;528;23;1,89%;4,36%;1,08%;0,80%
Slovakia;Ireland;232;190;8;3,45%;4,21%;1,97%;1,48%
Finland;Ireland;1218;528;22;1,81%;4,17%;1,08%;0,72%
Andorra;Ireland;348;105;4;1,15%;3,81%;0,75%;0,39%
Latvia;Ireland;1334;587;21;1,57%;3,58%;1,14%;0,44%
Netherlands;Ireland;1334;587;21;1,57%;3,58%;1,14%;0,44%
Austria;Ireland;1044;463;16;1,53%;3,46%;1,13%;0,40%
Belgium;Ireland;1276;581;20;1,57%;3,44%;1,16%;0,41%
Norway;Ireland;1334;587;20;1,50%;3,41%;1,14%;0,36%
Croatia;Ireland;1218;587;18;1,48%;3,07%;1,25%;0,23%
Iceland;Ireland;1334;587;17;1,27%;2,90%;1,14%;0,14%
Cyprus;Ireland;1218;581;16;1,31%;2,75%;1,21%;0,11%
Albania;Ireland;1160;436;12;1,03%;2,75%;0,92%;0,11%
Spain;Ireland;1334;587;16;1,20%;2,73%;1,14%;0,06%
Turkey;Ireland;696;446;12;1,72%;2,69%;1,76%;-0,04%
Lithuania;Ireland;1218;442;10;0,82%;2,26%;0,91%;-0,09%
Poland;Ireland;1160;444;10;0,86%;2,25%;0,98%;-0,11%
Estonia;Ireland;1334;587;12;0,90%;2,04%;1,14%;-0,24%
Italy;Ireland;754;306;5;0,66%;1,63%;0,98%;-0,32%
Israel;Ireland;1334;587;8;0,60%;1,36%;1,14%;-0,54%
SanMarino;Ireland;812;306;4;0,49%;1,31%;0,91%;-0,42%
France;Ireland;1334;587;6;0,45%;1,02%;1,14%;-0,69%
Hungary;Ireland;986;311;3;0,30%;0,96%;0,76%;-0,46%
Bulgaria;Ireland;870;429;4;0,46%;0,93%;1,19%;-0,73%
Romania;Ireland;1160;581;5;0,43%;0,86%;1,28%;-0,85%
Armenia;Ireland;986;383;3;0,30%;0,78%;0,94%;-0,64%
Ukraine;Ireland;1044;489;3;0,29%;0,61%;1,17%;-0,88%
Slovenia;Ireland;1276;495;3;0,24%;0,61%;0,99%;-0,75%
BosniaHerzegovina;Ireland;754;354;2;0,27%;0,57%;1,23%;-0,96%
Azerbaijan;Ireland;928;331;1;0,11%;0,30%;0,86%;-0,76%
Belarus;Ireland;1160;436;1;0,09%;0,23%;0,92%;-0,83%
Montenegro;Ireland;870;192;0;0,00%;0,00%;0,53%;-0,53%
Serbia;Ireland;928;336;0;0,00%;0,00%;0,87%;-0,87%
Georgia;Ireland;928;336;0;0,00%;0,00%;0,88%;-0,88%
Moldova;Ireland;1102;429;0;0,00%;0,00%;0,95%;-0,95%
Greece;Ireland;1276;495;0;0,00%;0,00%;0,99%;-0,99%
Macedonia;Ireland;1218;528;0;0,00%;0,00%;1,08%;-1,08%
Russia;Ireland;1218;587;0;0,00%;0,00%;1,26%;-1,26%
Serbia&Montenegro;Ireland;174;100;0;0,00%;0,00%;1,53%;-1,53%
Luxembourg;Ireland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Ireland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Ireland;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Israel;232;124;13;5,60%;10,48%;1,29%;4,32%
France;Israel;1392;1327;113;8,12%;8,52%;2,51%;5,61%
Monaco;Israel;174;158;12;6,90%;7,60%;2,41%;4,49%
Andorra;Israel;348;335;15;4,31%;4,48%;2,41%;1,90%
Finland;Israel;1276;1285;57;4,47%;4,44%;2,56%;1,90%
Azerbaijan;Israel;928;1083;46;4,96%;4,25%;2,83%;2,13%
Ukraine;Israel;1044;1126;44;4,22%;3,91%;2,70%;1,52%
SanMarino;Israel;812;959;37;4,56%;3,86%;2,85%;1,71%
Netherlands;Israel;1334;1290;47;3,52%;3,64%;2,50%;1,02%
Australia;Israel;522;835;30;5,75%;3,59%;3,83%;1,92%
Moldova;Israel;1102;1241;42;3,81%;3,38%;2,74%;1,07%
BosniaHerzegovina;Israel;812;620;20;2,46%;3,23%;2,05%;0,41%
Germany;Israel;1392;1327;41;2,95%;3,09%;2,51%;0,44%
UnitedKingdom;Israel;1392;1327;40;2,87%;3,01%;2,51%;0,37%
Belgium;Israel;1334;1302;39;2,92%;3,00%;2,52%;0,40%
Italy;Israel;754;835;25;3,32%;2,99%;2,68%;0,64%
Georgia;Israel;928;1030;30;3,23%;2,91%;2,69%;0,55%
Russia;Israel;1276;1288;37;2,90%;2,87%;2,68%;0,22%
Czech;Israel;696;1012;29;4,17%;2,87%;3,47%;0,70%
Serbia;Israel;928;1083;30;3,23%;2,77%;2,80%;0,43%
Romania;Israel;1218;1167;32;2,63%;2,74%;2,50%;0,13%
Malta;Israel;1392;1327;35;2,51%;2,64%;2,51%;0,01%
Belarus;Israel;1160;1241;31;2,67%;2,50%;2,62%;0,05%
Norway;Israel;1334;1290;32;2,40%;2,48%;2,50%;-0,10%
Bulgaria;Israel;870;1109;26;2,99%;2,34%;3,08%;-0,09%
Spain;Israel;1392;1327;31;2,23%;2,34%;2,51%;-0,28%
Hungary;Israel;986;1166;27;2,74%;2,32%;2,86%;-0,12%
Cyprus;Israel;1276;1302;30;2,35%;2,30%;2,63%;-0,28%
Armenia;Israel;986;1087;24;2,43%;2,21%;2,68%;-0,25%
Austria;Israel;1102;1050;22;2,00%;2,10%;2,49%;-0,49%
Turkey;Israel;754;492;10;1,33%;2,03%;1,84%;-0,51%
Croatia;Israel;1276;1230;25;1,96%;2,03%;2,54%;-0,58%
Poland;Israel;1160;1283;26;2,24%;2,03%;2,82%;-0,58%
Albania;Israel;1160;1241;25;2,16%;2,02%;2,62%;-0,47%
Ireland;Israel;1334;1290;23;1,72%;1,78%;2,50%;-0,78%
Sweden;Israel;1392;1327;22;1,58%;1,66%;2,51%;-0,93%
Switzerland;Israel;1276;1285;21;1,65%;1,63%;2,56%;-0,92%
Iceland;Israel;1334;1290;20;1,50%;1,55%;2,50%;-1,00%
Lithuania;Israel;1276;1303;19;1,49%;1,46%;2,60%;-1,11%
Montenegro;Israel;870;1012;13;1,49%;1,29%;2,81%;-1,32%
Portugal;Israel;1102;1148;14;1,27%;1,22%;2,67%;-1,40%
Greece;Israel;1334;1320;16;1,20%;1,21%;2,56%;-1,36%
Latvia;Israel;1392;1327;16;1,15%;1,21%;2,51%;-1,36%
Slovenia;Israel;1334;1320;12;0,90%;0,91%;2,56%;-1,66%
Macedonia;Israel;1276;1285;11;0,86%;0,86%;2,56%;-1,70%
Denmark;Israel;1334;1310;11;0,82%;0,84%;2,55%;-1,72%
Estonia;Israel;1392;1327;6;0,43%;0,45%;2,51%;-2,08%
Serbia&Montenegro;Israel;174;158;0;0,00%;0,00%;2,41%;-2,41%
Luxembourg;Israel;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Israel;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Israel;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Malta;Italy;754;1979;137;18,17%;6,92%;6,35%;11,82%
Albania;Italy;754;1979;132;17,51%;6,67%;6,35%;11,16%
Spain;Italy;754;1979;89;11,80%;4,50%;6,35%;5,45%
SanMarino;Italy;754;1979;88;11,67%;4,45%;6,35%;5,32%
France;Italy;754;1979;81;10,74%;4,09%;6,35%;4,39%
Switzerland;Italy;754;1979;75;9,95%;3,79%;6,35%;3,59%
Cyprus;Italy;696;1946;73;10,49%;3,75%;6,71%;3,78%
Greece;Italy;754;1979;68;9,02%;3,44%;6,35%;2,67%
Montenegro;Italy;696;1790;61;8,76%;3,41%;6,25%;2,52%
Austria;Italy;754;1979;65;8,62%;3,28%;6,35%;2,27%
Croatia;Italy;638;1654;54;8,46%;3,27%;6,20%;2,27%
Slovenia;Italy;754;1979;63;8,36%;3,18%;6,35%;2,00%
Portugal;Italy;580;1729;55;9,48%;3,18%;7,20%;2,28%
Belgium;Italy;754;1979;61;8,09%;3,08%;6,35%;1,74%
Serbia;Italy;696;1946;58;8,33%;2,98%;6,71%;1,62%
Macedonia;Italy;754;1979;55;7,29%;2,78%;6,35%;0,94%
Israel;Italy;754;1979;49;6,50%;2,48%;6,35%;0,15%
Lithuania;Italy;754;1979;48;6,37%;2,43%;6,35%;0,01%
Germany;Italy;754;1979;46;6,10%;2,32%;6,35%;-0,25%
Romania;Italy;638;1855;39;6,11%;2,10%;7,06%;-0,95%
Finland;Italy;754;1979;40;5,31%;2,02%;6,35%;-1,05%
Norway;Italy;754;1979;40;5,31%;2,02%;6,35%;-1,05%
Armenia;Italy;696;1878;37;5,32%;1,97%;6,54%;-1,23%
Netherlands;Italy;754;1979;38;5,04%;1,92%;6,35%;-1,31%
Slovakia;Italy;116;290;5;4,31%;1,72%;5,88%;-1,57%
Georgia;Italy;754;1979;34;4,51%;1,72%;6,35%;-1,85%
Latvia;Italy;754;1979;34;4,51%;1,72%;6,35%;-1,85%
Poland;Italy;638;1752;29;4,55%;1,66%;6,62%;-2,08%
Hungary;Italy;754;1979;32;4,24%;1,62%;6,35%;-2,11%
Azerbaijan;Italy;754;1979;31;4,11%;1,57%;6,35%;-2,24%
Iceland;Italy;754;1979;30;3,98%;1,52%;6,35%;-2,38%
Moldova;Italy;754;1979;29;3,85%;1,47%;6,35%;-2,51%
BosniaHerzegovina;Italy;232;414;6;2,59%;1,45%;4,22%;-1,64%
Estonia;Italy;754;1979;28;3,71%;1,42%;6,35%;-2,64%
Sweden;Italy;754;1979;27;3,58%;1,36%;6,35%;-2,77%
Czech;Italy;522;1530;20;3,83%;1,31%;7,02%;-3,19%
Ireland;Italy;754;1979;25;3,32%;1,26%;6,35%;-3,04%
Russia;Italy;638;1645;20;3,14%;1,22%;6,26%;-3,13%
Australia;Italy;522;1530;15;2,87%;0,98%;7,02%;-4,14%
Belarus;Italy;754;1979;18;2,39%;0,91%;6,35%;-3,97%
UnitedKingdom;Italy;754;1979;17;2,26%;0,86%;6,35%;-4,10%
Ukraine;Italy;580;1215;9;1,55%;0,74%;5,05%;-3,50%
Denmark;Italy;754;1979;12;1,59%;0,61%;6,35%;-4,76%
Bulgaria;Italy;522;1182;6;1,15%;0,51%;5,39%;-4,24%
Turkey;Italy;116;290;0;0,00%;0,00%;5,88%;-5,88%
Andorra;Italy;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Luxembourg;Italy;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Italy;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Italy;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Italy;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Italy;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Lithuania;Latvia;1276;830;91;7,13%;10,96%;1,66%;5,47%
Estonia;Latvia;1392;966;83;5,96%;8,59%;1,82%;4,14%
Ireland;Latvia;1334;790;66;4,95%;8,35%;1,53%;3,42%
UnitedKingdom;Latvia;1392;966;47;3,38%;4,87%;1,82%;1,55%
SanMarino;Latvia;812;401;18;2,22%;4,49%;1,19%;1,03%
Monaco;Latvia;174;183;8;4,60%;4,37%;2,79%;1,81%
Norway;Latvia;1334;790;34;2,55%;4,30%;1,53%;1,02%
Georgia;Latvia;928;455;19;2,05%;4,18%;1,19%;0,86%
Ukraine;Latvia;1044;452;18;1,72%;3,98%;1,08%;0,64%
Poland;Latvia;1160;654;26;2,24%;3,98%;1,44%;0,80%
Slovenia;Latvia;1334;830;32;2,40%;3,86%;1,61%;0,79%
Andorra;Latvia;348;320;12;3,45%;3,75%;2,30%;1,15%
Germany;Latvia;1392;966;34;2,44%;3,52%;1,82%;0,62%
Belgium;Latvia;1334;950;32;2,40%;3,37%;1,84%;0,56%
Malta;Latvia;1392;966;32;2,30%;3,31%;1,82%;0,48%
Denmark;Latvia;1334;966;31;2,32%;3,21%;1,88%;0,45%
Finland;Latvia;1276;950;30;2,35%;3,16%;1,90%;0,46%
Portugal;Latvia;1102;522;16;1,45%;3,07%;1,21%;0,24%
Iceland;Latvia;1334;790;24;1,80%;3,04%;1,53%;0,27%
Israel;Latvia;1392;966;27;1,94%;2,80%;1,82%;0,12%
Sweden;Latvia;1392;966;26;1,87%;2,69%;1,82%;0,04%
Spain;Latvia;1392;966;25;1,80%;2,59%;1,82%;-0,03%
Belarus;Latvia;1160;638;16;1,38%;2,51%;1,35%;0,03%
Russia;Latvia;1276;966;23;1,80%;2,38%;2,01%;-0,21%
Moldova;Latvia;1102;638;15;1,36%;2,35%;1,41%;-0,05%
Switzerland;Latvia;1276;950;22;1,72%;2,32%;1,90%;-0,17%
Hungary;Latvia;986;608;14;1,42%;2,30%;1,49%;-0,07%
Austria;Latvia;1102;837;19;1,72%;2,27%;1,98%;-0,26%
Australia;Latvia;522;318;7;1,34%;2,20%;1,46%;-0,12%
Czech;Latvia;696;455;9;1,29%;1,98%;1,56%;-0,27%
France;Latvia;1392;966;18;1,29%;1,86%;1,82%;-0,53%
Croatia;Latvia;1276;780;14;1,10%;1,80%;1,61%;-0,51%
Greece;Latvia;1334;830;14;1,05%;1,69%;1,61%;-0,56%
Macedonia;Latvia;1276;950;13;1,02%;1,37%;1,90%;-0,88%
Italy;Latvia;754;318;4;0,53%;1,26%;1,02%;-0,49%
Azerbaijan;Latvia;928;401;5;0,54%;1,25%;1,05%;-0,51%
Netherlands;Latvia;1334;790;9;0,67%;1,14%;1,53%;-0,86%
Cyprus;Latvia;1276;950;9;0,71%;0,95%;1,92%;-1,21%
Turkey;Latvia;754;648;6;0,80%;0,93%;2,42%;-1,63%
Romania;Latvia;1218;818;7;0,57%;0,86%;1,75%;-1,18%
BosniaHerzegovina;Latvia;812;644;5;0,62%;0,78%;2,13%;-1,52%
Montenegro;Latvia;870;455;3;0,34%;0,66%;1,26%;-0,92%
Armenia;Latvia;986;485;2;0,20%;0,41%;1,20%;-0,99%
Serbia;Latvia;928;455;1;0,11%;0,22%;1,18%;-1,07%
Bulgaria;Latvia;870;452;0;0,00%;0,00%;1,26%;-1,26%
Albania;Latvia;1160;638;0;0,00%;0,00%;1,35%;-1,35%
Serbia&Montenegro;Latvia;174;183;0;0,00%;0,00%;2,79%;-2,79%
Luxembourg;Latvia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Latvia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Latvia;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Latvia;232;0;0;0,00%;-1,00%;0,00%;0,00%
Latvia;Lithuania;1276;821;90;7,05%;10,96%;1,64%;5,41%
Ireland;Lithuania;1218;809;81;6,65%;10,01%;1,66%;4,99%
UnitedKingdom;Lithuania;1276;821;66;5,17%;8,04%;1,64%;3,53%
Georgia;Lithuania;928;589;47;5,07%;7,98%;1,54%;3,53%
Norway;Lithuania;1218;809;49;4,02%;6,06%;1,66%;2,36%
Estonia;Lithuania;1276;821;49;3,84%;5,97%;1,64%;2,20%
Belarus;Lithuania;1160;774;36;3,10%;4,65%;1,64%;1,47%
Monaco;Lithuania;174;162;7;4,02%;4,32%;2,47%;1,55%
Andorra;Lithuania;348;213;8;2,30%;3,76%;1,53%;0,77%
Russia;Lithuania;1160;821;29;2,50%;3,53%;1,82%;0,68%
Poland;Lithuania;1102;722;23;2,09%;3,19%;1,64%;0,45%
Ukraine;Lithuania;986;744;23;2,33%;3,09%;1,85%;0,49%
Australia;Lithuania;522;411;11;2,11%;2,68%;1,89%;0,22%
Croatia;Lithuania;1160;791;20;1,72%;2,53%;1,74%;-0,01%
Serbia;Lithuania;928;612;15;1,62%;2,45%;1,58%;0,03%
Denmark;Lithuania;1276;821;20;1,57%;2,44%;1,64%;-0,07%
Bulgaria;Lithuania;870;744;18;2,07%;2,42%;2,07%;0,00%
Netherlands;Lithuania;1218;809;19;1,56%;2,35%;1,66%;-0,10%
Sweden;Lithuania;1276;821;19;1,49%;2,31%;1,64%;-0,15%
Azerbaijan;Lithuania;928;584;13;1,40%;2,23%;1,52%;-0,12%
Switzerland;Lithuania;1218;786;15;1,23%;1,91%;1,61%;-0,38%
Iceland;Lithuania;1218;809;15;1,23%;1,85%;1,66%;-0,43%
Serbia&Montenegro;Lithuania;174;162;3;1,72%;1,85%;2,47%;-0,75%
Finland;Lithuania;1218;786;14;1,15%;1,78%;1,61%;-0,46%
Portugal;Lithuania;1044;592;10;0,96%;1,69%;1,43%;-0,47%
Cyprus;Lithuania;1160;786;13;1,12%;1,65%;1,69%;-0,57%
SanMarino;Lithuania;812;561;8;0,99%;1,43%;1,67%;-0,68%
Italy;Lithuania;754;561;8;1,06%;1,43%;1,80%;-0,74%
Moldova;Lithuania;1102;774;11;1,00%;1,42%;1,71%;-0,71%
Hungary;Lithuania;986;612;8;0,81%;1,31%;1,50%;-0,69%
Germany;Lithuania;1276;821;10;0,78%;1,22%;1,64%;-0,86%
Malta;Lithuania;1276;821;10;0,78%;1,22%;1,64%;-0,86%
Romania;Lithuania;1102;586;7;0,64%;1,20%;1,34%;-0,70%
Israel;Lithuania;1276;821;8;0,63%;0,97%;1,64%;-1,01%
Czech;Lithuania;696;462;4;0,57%;0,87%;1,58%;-1,01%
Slovenia;Lithuania;1276;821;5;0,39%;0,61%;1,64%;-1,25%
Spain;Lithuania;1276;821;5;0,39%;0,61%;1,64%;-1,25%
Montenegro;Lithuania;870;549;3;0,34%;0,55%;1,52%;-1,18%
Albania;Lithuania;1160;774;4;0,34%;0,52%;1,64%;-1,29%
Belgium;Lithuania;1218;786;4;0,33%;0,51%;1,61%;-1,28%
Greece;Lithuania;1276;821;4;0,31%;0,49%;1,64%;-1,33%
Macedonia;Lithuania;1218;786;3;0,25%;0,38%;1,61%;-1,37%
France;Lithuania;1276;821;3;0,24%;0,37%;1,64%;-1,40%
BosniaHerzegovina;Lithuania;754;593;2;0,27%;0,34%;2,07%;-1,80%
Austria;Lithuania;986;601;1;0,10%;0,17%;1,53%;-1,43%
Slovakia;Lithuania;232;156;0;0,00%;0,00%;1,62%;-1,62%
Turkey;Lithuania;638;393;0;0,00%;0,00%;1,65%;-1,65%
Armenia;Lithuania;986;704;0;0,00%;0,00%;1,74%;-1,74%
Luxembourg;Lithuania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Lithuania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Lithuania;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Albania;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Andorra;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Armenia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Australia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Austria;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Azerbaijan;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Belarus;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Belgium;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
BosniaHerzegovina;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Bulgaria;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Croatia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Cyprus;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Czech;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Denmark;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Estonia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Finland;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
France;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Georgia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Germany;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Greece;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Hungary;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Iceland;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Ireland;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Israel;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Italy;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Latvia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Lithuania;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Macedonia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Malta;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Moldova;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Monaco;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Montenegro;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Morocco;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Netherlands;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Norway;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Poland;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Portugal;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Romania;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Russia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
SanMarino;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovakia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Slovenia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Spain;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Sweden;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Switzerland;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Turkey;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Ukraine;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
UnitedKingdom;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Yugoslavia;Luxembourg;0;0;0;-1,00%;-1,00%;-1,00%;0,00%
Serbia&Montenegro;Macedonia;174;155;27;15,52%;17,42%;2,37%;13,16%
BosniaHerzegovina;Macedonia;696;324;43;6,18%;13,27%;1,18%;4,99%
Croatia;Macedonia;1160;658;68;5,86%;10,33%;1,44%;4,42%
Serbia;Macedonia;928;449;46;4,96%;10,24%;1,16%;3,80%
Bulgaria;Macedonia;870;252;25;2,87%;9,92%;0,70%;2,17%
Albania;Macedonia;1160;604;48;4,14%;7,95%;1,28%;2,86%
Slovenia;Macedonia;1218;629;48;3,94%;7,63%;1,29%;2,65%
Montenegro;Macedonia;870;449;31;3,56%;6,90%;1,25%;2,32%
Turkey;Macedonia;638;353;24;3,76%;6,80%;1,48%;2,29%
Romania;Macedonia;1160;658;29;2,50%;4,41%;1,45%;1,05%
Switzerland;Macedonia;1276;658;27;2,12%;4,10%;1,31%;0,80%
Armenia;Macedonia;986;434;17;1,72%;3,92%;1,07%;0,65%
Czech;Macedonia;696;378;12;1,72%;3,18%;1,30%;0,43%
Azerbaijan;Macedonia;928;376;11;1,19%;2,93%;0,98%;0,20%
Italy;Macedonia;754;376;11;1,46%;2,93%;1,21%;0,25%
Australia;Macedonia;522;305;7;1,34%;2,30%;1,40%;-0,06%
Austria;Macedonia;1044;602;13;1,25%;2,16%;1,48%;-0,23%
Moldova;Macedonia;1102;557;12;1,09%;2,15%;1,23%;-0,14%
Malta;Macedonia;1276;658;14;1,10%;2,13%;1,31%;-0,22%
Ukraine;Macedonia;986;299;6;0,61%;2,01%;0,74%;-0,13%
Hungary;Macedonia;986;501;10;1,01%;2,00%;1,23%;-0,22%
Belarus;Macedonia;1160;604;12;1,03%;1,99%;1,28%;-0,24%
UnitedKingdom;Macedonia;1276;658;12;0,94%;1,82%;1,31%;-0,37%
Russia;Macedonia;1160;658;11;0,95%;1,67%;1,45%;-0,51%
Norway;Macedonia;1218;633;10;0,82%;1,58%;1,30%;-0,48%
Denmark;Macedonia;1276;658;10;0,78%;1,52%;1,31%;-0,53%
Poland;Macedonia;1044;533;8;0,77%;1,50%;1,25%;-0,48%
Slovakia;Macedonia;232;71;1;0,43%;1,41%;0,74%;-0,31%
Iceland;Macedonia;1218;633;8;0,66%;1,26%;1,30%;-0,64%
Finland;Macedonia;1276;658;8;0,63%;1,22%;1,31%;-0,69%
Latvia;Macedonia;1276;658;8;0,63%;1,22%;1,31%;-0,69%
France;Macedonia;1276;658;7;0,55%;1,06%;1,31%;-0,76%
Germany;Macedonia;1276;658;7;0,55%;1,06%;1,31%;-0,76%
Portugal;Macedonia;986;604;5;0,51%;0,83%;1,50%;-1,00%
